"","Variable","Unweighted_noip","Weighted_noip","Unweighted_part","Weighted_part","Unweighted_full","Weighted_full"
"1","Gender",NA,NA,NA,NA,NA,NA
"2","Female","203,625 (72%)","57%","89,657 (68%)","53%","138,248 (71%)","55%"
"3","Male","72,817 (26%)","40%","37,485 (29%)","43%","52,427 (27%)","41%"
"4","Non-binary","1,338 (0.5%)","0.6%","900 (0.7%)","1.0%","1,100 (0.6%)","0.8%"
"5","Other/Prefer not to answer","4,116 (1.5%)","1.8%","2,918 (2.2%)","3.1%","4,096 (2.1%)","2.9%"
"8","Age",NA,NA,NA,NA,NA,NA
"9","35.44","103,219 (37%)","32%","49,913 (38%)","34%","80,767 (41%)","38%"
"10","18.24","13,013 (4.6%)","9.9%","5,731 (4.4%)","9.2%","6,198 (3.2%)","6.7%"
"11","25.34","50,038 (18%)","18%","20,869 (16%)","16%","39,160 (20%)","20%"
"12","45.54","73,395 (26%)","26%","34,951 (27%)","27%","43,356 (22%)","23%"
"13","55.64","26,372 (9.4%)","8.6%","11,756 (9.0%)","8.2%","15,895 (8.1%)","7.6%"
"14","65plus","15,658 (5.6%)","4.9%","7,635 (5.8%)","5.4%","10,371 (5.3%)","5.0%"
"17","Pre_K",NA,NA,NA,NA,NA,NA
"18","Yes","77,013 (27%)","28%","41,585 (32%)","32%","73,523 (38%)","38%"
"22","Grades1_5",NA,NA,NA,NA,NA,NA
"23","Yes","125,974 (45%)","44%","61,977 (47%)","47%","105,605 (54%)","54%"
"27","Grades6_8",NA,NA,NA,NA,NA,NA
"28","Yes","94,506 (34%)","33%","49,349 (38%)","38%","67,381 (34%)","35%"
"32","Grades9_12",NA,NA,NA,NA,NA,NA
"33","Yes","113,395 (40%)","41%","60,771 (46%)","48%","68,117 (35%)","36%"
"37","Educational_Level",NA,NA,NA,NA,NA,NA
"38","HS","50,990 (18%)","21%","20,355 (16%)","18%","30,642 (16%)","18%"
"39","Less than HS","14,815 (5.3%)","6.9%","5,597 (4.3%)","5.7%","7,827 (4.0%)","5.2%"
"40","Some college","72,454 (26%)","27%","30,264 (23%)","24%","45,520 (23%)","24%"
"41","College/Professional Degree","100,654 (36%)","32%","51,319 (39%)","36%","77,568 (40%)","37%"
"42","Graduate","39,655 (14%)","12%","22,225 (17%)","15%","32,490 (17%)","15%"
"45","OccupationRed",NA,NA,NA,NA,NA,NA
"46","Office and admin support","19,842 (7.0%)","5.9%","10,048 (7.7%)","6.4%","15,692 (8.0%)","6.7%"
"47","Comm/social service","7,045 (2.5%)","2.1%","3,776 (2.9%)","2.4%","5,592 (2.9%)","2.4%"
"48","Education","17,448 (6.2%)","4.9%","10,720 (8.2%)","6.4%","17,513 (8.9%)","7.1%"
"49","Food service","7,961 (2.8%)","3.4%","4,219 (3.2%)","3.8%","5,985 (3.1%)","3.4%"
"50","Healthcare","26,547 (9.4%)","8.2%","15,687 (12%)","10%","25,012 (13%)","11%"
"51","Not Employed","110,735 (39%)","39%","39,368 (30%)","30%","55,181 (28%)","28%"
"52","Other","61,338 (22%)","24%","30,918 (24%)","26%","46,221 (24%)","27%"
"53","Production","5,522 (2.0%)","2.4%","3,087 (2.4%)","2.9%","4,828 (2.5%)","3.1%"
"54","Sales","14,186 (5.0%)","5.3%","7,843 (6.0%)","6.4%","11,805 (6.0%)","6.4%"
"55","Transportation and material moving/delivery","5,353 (1.9%)","2.5%","2,749 (2.1%)","2.7%","4,056 (2.1%)","2.8%"
"58","Description",NA,NA,NA,NA,NA,NA
"60","Metro - Counties in metro areas of 1 million population or more","141,406 (50%)","53%","51,048 (39%)","41%","69,724 (36%)","37%"
"61","Metro - Counties in metro areas of 250,000 to 1 million population","77,174 (27%)","26%","37,137 (28%)","27%","54,101 (28%)","27%"
"62","Metro - Counties in metro areas of fewer than 250,000 population","25,433 (9.0%)","8.2%","16,027 (12%)","12%","25,230 (13%)","13%"
"63","Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","1,193 (0.4%)","0.4%","929 (0.7%)","0.7%","1,637 (0.8%)","0.8%"
"64","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","1,484 (0.5%)","0.4%","931 (0.7%)","0.6%","2,390 (1.2%)","1.0%"
"65","Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","8,879 (3.1%)","2.8%","6,535 (5.0%)","4.8%","13,199 (6.7%)","6.6%"
"66","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","5,354 (1.9%)","1.6%","3,806 (2.9%)","2.6%","8,261 (4.2%)","3.9%"
"67","Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","10,810 (3.8%)","3.5%","8,060 (6.2%)","5.8%","11,136 (5.7%)","5.5%"
"68","Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area","4,011 (1.4%)","1.2%","2,660 (2.0%)","1.8%","4,579 (2.3%)","2.0%"
"70","HH_sz",NA,NA,NA,NA,NA,NA
"71","2","14,574 (5.2%)","4.6%","5,144 (3.9%)","3.6%","8,461 (4.3%)","4.0%"
"72","3","61,294 (22%)","20%","23,805 (18%)","17%","38,524 (20%)","19%"
"73","4","88,850 (32%)","30%","43,743 (33%)","32%","64,255 (33%)","32%"
