"","0","1-3","4-6","7-9","10+"
"Overall","2.1%","55%","40%","2.4%","<0.1%"
"AK","1.5%","56%","40%","2.4%","<0.1%"
"AL","1.9%","54%","42%","2.6%","<0.1%"
"AR","2.2%","56%","40%","1.8%","0%"
"AZ","1.8%","56%","40%","2.6%","<0.1%"
"CA","2.1%","55%","41%","2.3%","<0.1%"
"CO","2.4%","55%","41%","2.1%","<0.1%"
"CT","1.7%","56%","40%","2.4%","<0.1%"
"DC","3.2%","54%","41%","2.2%","0%"
"DE","2.2%","58%","38%","1.8%","0%"
"FL","2.0%","55%","41%","2.3%","<0.1%"
"GA","2.2%","55%","40%","2.6%","0%"
"HI","2.0%","55%","41%","2.6%","0%"
"IA","2.2%","54%","42%","2.7%","0%"
"ID","1.8%","56%","41%","1.8%","0%"
"IL","2.1%","56%","40%","2.3%","<0.1%"
"IN","1.8%","54%","41%","2.5%","<0.1%"
"KS","2.1%","56%","39%","2.8%","0%"
"KY","1.6%","56%","40%","2.1%","<0.1%"
"LA","1.8%","55%","40%","2.7%","<0.1%"
"MA","1.7%","56%","40%","2.4%","0%"
"MD","1.9%","55%","41%","2.6%","0%"
"ME","2.3%","56%","39%","2.4%","0%"
"MI","2.4%","56%","40%","2.2%","<0.1%"
"MN","1.6%","55%","41%","2.4%","0%"
"MO","2.1%","55%","41%","2.3%","<0.1%"
"MS","1.8%","54%","43%","1.9%","0%"
"MT","2.3%","53%","41%","4.0%","0%"
"NC","2.1%","56%","39%","2.4%","<0.1%"
"ND","3.1%","52%","43%","2.5%","0%"
"NE","2.2%","57%","39%","2.1%","0%"
"NH","2.4%","55%","40%","2.8%","0%"
"NJ","2.0%","56%","39%","2.1%","<0.1%"
"NM","1.9%","56%","40%","2.1%","0%"
"NV","2.3%","55%","41%","2.0%","0%"
"NY","2.0%","55%","41%","2.6%","<0.1%"
"OH","2.0%","55%","40%","2.2%","<0.1%"
"OK","2.6%","54%","41%","2.5%","<0.1%"
"OR","1.8%","55%","40%","2.6%","<0.1%"
"PA","2.1%","55%","40%","2.4%","0%"
"RI","1.5%","54%","42%","2.5%","0%"
"SC","2.1%","56%","40%","2.7%","0%"
"SD","2.0%","55%","40%","2.5%","0%"
"TN","2.2%","54%","41%","2.1%","0%"
"TX","2.0%","56%","40%","2.4%","<0.1%"
"UT","1.8%","55%","41%","1.9%","<0.1%"
"VA","2.2%","55%","40%","2.1%","0%"
"VT","1.7%","56%","41%","2.0%","0%"
"WA","1.7%","56%","40%","2.6%","0%"
"WI","2.6%","55%","41%","2.0%","<0.1%"
"WV","2.5%","54%","41%","2.9%","0%"
"WY","1.6%","55%","42%","1.4%","<0.1%"
