"","sch_maskMand_st","sch_maskMand_tch","sch_sameTch","sch_sameSt","sch_outdoorInstr","sch_restEntry","sch_redClassSize","sch_closedCafe","sch_closedPlay","sch_deskShields","sch_xdeskSpace","sch_noExtraCurr","sch_noShareSupp","sch_dailySymptScr"
"Overall","88","77","38","50","13","61","49","30",NA,"21","60","33","57",NA
"AK","83","63","43","49","15","51","42","33","19","22","48","32","46","36"
"AL","86","73","35","46","12","54","36","33","16","21","55","20","52","37"
"AR","84","74","30","41","10","58","34","17","11","19","55","17","50","39"
"AZ","90","75","36","47","12","56","44","21","18","15","53","33","56","40"
"CA","84","71","52","57","24","61","62","41","35","27","59","47","57","58"
"CO","86","78","42","60","17","65","46","32","17","15","59","43","58","55"
"CT","96","85","40","59","20","72","61","39","25","30","71","52","68","34"
"DC","87","55","45","51","25","52","53","36","24","19","48","43","46","52"
"DE","88","80","44","55","18","64","67","40","28","18","68","39","63","50"
"FL","86","70","31","41","11","54","38","16","15","23","53","23","49","37"
"GA","75","65","32","45","11","56","39","29","16","16","52","23","51","39"
"HI","89","81","55","65","31","67","72","43","39","37","76","56","69","63"
"IA","92","79","30","44","7.6","58","33","17","9.1","18","57","19","51","22"
"ID","84","71","33","42","7.7","47","39","16","11","14","52","25","46","24"
"IL","95","84","43","55","15","68","60","43","31","19","69","51","65","69"
"IN","89","78","34","46","8.3","61","36","19","13","17","62","22","56","28"
"KS","90","80","36","51","11","65","39","24","12","17","62","20","57","55"
"KY","85","78","44","54","14","62","62","32","26","19","65","31","59","63"
"LA","82","72","32","49","11","53","38","36","22","17","54","26","53","55"
"MA","93","86","43","63","20","72","77","44","29","17","78","48","72","37"
"MD","85","78","48","61","25","70","64","41","23","18","58","44","57","66"
"ME","95","87","42","60","23","77","70","39","20","21","77","50","70","54"
"MI","91","81","41","53","12","67","46","35","16","19","59","40","59","45"
"MN","86","78","43","58","12","61","47","28","14","14","59","28","55","40"
"MO","82","75","33","48","9.5","61","35","25","11","17","56","20","53","37"
"MS","89","73","32","45","8.7","53","36","35","17","18","54","20","53","51"
"MT","90","78","38","52","12","58","42","30","13","16","60","23","54","33"
"NC","88","80","43","58","15","67","60","46","24","15","65","40","60","71"
"ND","91","76","30","42","8.2","55","28","13","7.3","13","54","17","51","25"
"NE","93","81","31","43","8.5","58","26","18","11","15","54","20","50","40"
"NH","89","84","42","62","22","69","64","39","20","24","71","37","67","62"
"NJ","93","85","42","58","15","74","72","59","38","31","72","50","70","65"
"NM","90","70","53","61","19","59","59","33","26","19","54","44","53","56"
"NV","88","78","44","52","13","60","59","35","33","16","62","47","58","41"
"NY","92","82","42","58","15","70","70","42","32","26","74","51","67","64"
"OH","91","82","32","47","9.3","61","49","21","18","27","65","22","60","42"
"OK","80","69","32","41","7.6","56","30","16","10","13","49","17","47","39"
"OR","80","72","56","63","15","62","63","41","28","17","57","49","57","54"
"PA","94","82","35","50","9.8","62","56","25","23","20","68","34","62","44"
"RI","89","81","45","64","19","69","63","45","30","22","68","49","67","60"
"SC","87","77","38","50","12","61","52","38","22","41","62","29","58","38"
"SD","75","62","27","41","6.6","53","16","9.3","7.0","22","46","9.9","41","28"
"TN","77","68","31","46","10","58","36","23","15","14","54","22","52","52"
"TX","86","75","31","43","12","61","39","21","18","27","54","23","52","43"
"UT","95","80","34","41","6.7","42","26","13","9.4","11","48","31","49","21"
"VA","88","80","47","59","16","66","66","46","27","20","69","44","64","60"
"VT","93","90","51","72","39","84","60","61","26","24","76","49","70","86"
"WA","86","78","57","64","17","64","67","44","29","18","64","53","60","69"
"WI","93","82","37","54","12","65","47","28","14","19","66","29","59","33"
"WV","88","78","40","51","8.8","59","58","32","24","22","63","44","59","38"
"WY","88","76","27","37","7.6","51","23","17","6.9","21","55","13","45","41"
